loss,master_output_loss,sub_output_loss,master_output_categorical_accuracy,sub_output_categorical_accuracy,val_loss,val_master_output_loss,val_sub_output_loss,val_master_output_categorical_accuracy,val_sub_output_categorical_accuracy
2.7020792961120605,0.38702043890953064,2.3150503635406494,0.8437303304672241,0.3899124562740326,2.5348868370056152,0.4116611182689667,2.1232264041900635,0.8258456587791443,0.4396141767501831
2.621018886566162,0.3738028407096863,2.2472198009490967,0.8498445749282837,0.4045989215373993,2.4346535205841064,0.3474215567111969,2.087231397628784,0.8594080209732056,0.46207717061042786
2.5201194286346436,0.362612783908844,2.1575002670288086,0.8556135892868042,0.4255012273788452,2.2803280353546143,0.29742440581321716,1.9829021692276,0.8842494487762451,0.4828224182128906
2.424438953399658,0.3462904989719391,2.0781476497650146,0.8631497621536255,0.44412845373153687,2.166107654571533,0.3131870925426483,1.8529189825057983,0.8718287348747253,0.5146670341491699
2.347951889038086,0.33352047204971313,2.014439105987549,0.8674561977386475,0.45846959948539734,2.072254180908203,0.2770558297634125,1.7951982021331787,0.8896670341491699,0.5290697813034058
2.272320508956909,0.32461726665496826,1.9477002620697021,0.8739767074584961,0.47764527797698975,2.1507461071014404,0.3209964632987976,1.8297481536865234,0.8724894523620605,0.5225951671600342
2.232745885848999,0.31737589836120605,1.9153722524642944,0.8762314915657043,0.4841049015522003,2.014897584915161,0.2801288366317749,1.7347677946090698,0.8924418687820435,0.5432082414627075
2.12178897857666,0.30150359869003296,1.8202842473983765,0.8838286399841309,0.5093745589256287,2.095151901245117,0.3024662137031555,1.7926863431930542,0.8777748346328735,0.5449259877204895
2.0692756175994873,0.29385387897491455,1.7754265069961548,0.8870787620544434,0.5155904293060303,2.0331265926361084,0.2959281802177429,1.7371976375579834,0.8820031881332397,0.5428118109703064
2.001040458679199,0.27842605113983154,1.7226139307022095,0.8922383189201355,0.5293018221855164,1.9631450176239014,0.29052701592445374,1.6726164817810059,0.8794925808906555,0.5591965913772583
1.9341351985931396,0.2725558280944824,1.6615792512893677,0.8949399590492249,0.546771228313446,1.9359643459320068,0.2693093419075012,1.666654348373413,0.8941596150398254,0.5669925808906555
1.8740140199661255,0.25824403762817383,1.615770697593689,0.9014605283737183,0.5575778484344482,2.043403387069702,0.30412518978118896,1.739277720451355,0.8802854418754578,0.5610465407371521
1.8286726474761963,0.2501217722892761,1.5785527229309082,0.9043856263160706,0.5653984546661377,1.7596386671066284,0.24406297504901886,1.5155760049819946,0.9075052738189697,0.6014798879623413
1.7798744440078735,0.24414357542991638,1.5357261896133423,0.9090780019760132,0.5780739188194275,1.7442470788955688,0.2512929439544678,1.4929548501968384,0.9019556045532227,0.6055760979652405
1.7349773645401,0.23859477043151855,1.4963793754577637,0.909382700920105,0.5860163569450378,1.9145338535308838,0.29414400458335876,1.6203898191452026,0.8772463202476501,0.584434449672699
1.6807883977890015,0.228570818901062,1.4522171020507812,0.9140141010284424,0.5987324714660645,1.741005301475525,0.25643372535705566,1.4845707416534424,0.8994450569152832,0.6037262082099915
1.6308667659759521,0.2156701683998108,1.4151992797851562,0.9193361401557922,0.6051717400550842,1.7894738912582397,0.27577051520347595,1.5137022733688354,0.891781210899353,0.6099365949630737
1.5643080472946167,0.204945370554924,1.359364628791809,0.9242519736289978,0.62282395362854,1.7634625434875488,0.2707911729812622,1.492671251296997,0.8920454382896423,0.6187896132469177
1.5338295698165894,0.20341581106185913,1.3304141759872437,0.9252879619598389,0.6296694874763489,1.6875145435333252,0.26886558532714844,1.4186477661132812,0.8883456587791443,0.6372885704040527
